event_id,source_name,source_detail,date,datetime_utc,time_precision,time_is_estimated,time_estimation_method,attacker,attack_type,target_country,target_name,event_kind,outcome_raw,lat,lon,geo_precision,casualties_killed,casualties_injured,interceptions_claimed,notes,description,keep
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T06:35:00Z,minute,False,exact,western Iran / IRGC mobile launchers,ballistic missile,Bahrain,NSA Bahrain / Juffair (US 5th Fleet HQ),strike,impact confirmed,26.22,50.6,point,0,0,,,smoke visible near US Navy 5th Fleet HQ,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T06:35:00Z,minute,False,exact,Iran,ballistic missile,Qatar,Al Udeid Air Base,mixed,partial intercept,25.12,51.32,point,0,0,,,base targeted; Patriot systems activated,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T06:35:00Z,minute,False,exact,Iran,ballistic missile,Kuwait,Ali al-Salem Air Base,mixed,partial intercept,29.35,47.52,point,0,0,,,base targeted,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T06:35:00Z,minute,False,exact,Iran,ballistic missile,UAE,Al Dhafra Air Base,mixed,partial intercept,24.25,54.55,point,0,0,,,base targeted,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T09:26:00Z,minute,False,exact,Iran,ballistic missile,Bahrain,NSA Bahrain / Juffair,strike,impact confirmed,26.22,50.6,point,0,0,,,missile strikes USN Fifth Fleet service center; smoke confirmed,True
,combined_sheet,Wikipedia Timeline Day 1 / multiple news sources,2026-02-28,2026-02-28T11:00:00Z,minute,False,exact,Iran,ballistic missile,Israel,Beit Shemesh - synagogue,strike,impact confirmed,31.75,34.99,point,9,51,,,synagogue struck; 11 missing; building heavily damaged,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T11:30:00Z,minute,False,exact,Iran,ballistic missile,Israel,Jerusalem,strike,impact confirmed,31.77,35.23,point,0,6,,,property damage on road; civilian vehicle damaged; 6 wounded,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,Shahed drone,UAE,Jebel Ali Port,mixed,partial intercept,25.01,55.06,point,0,0,,,dark plumes of smoke rising from port area,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,Shahed drone,UAE,Dubai Airport,mixed,partial intercept,25.25,55.36,point,0,0,,,airport sustains damage; operations disrupted,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,Shahed drone,UAE,Etihad Towers / Abu Dhabi Israeli Embassy vicinity,intercept,intercepted,24.47,54.32,point,0,2,,,intercepted drone debris damaged Etihad Towers; minor injuries to woman and child,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,Shahed drone,UAE,Al-Salam Naval Base Abu Dhabi,strike,impact confirmed,24.43,54.37,point,0,0,,,fire in two containers storing general materials,True
,combined_sheet,Wikipedia Timeline Day 1 / Amazon statement,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,Shahed drone / cruise missile,UAE,AWS Data Center UAE,strike,impact confirmed,24.45,54.38,point,0,0,,,objects struck AWS data centre; fire and sparks; complete power cut; temporary connectivity outage,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,cruise missile,UAE,Camp de la Paix (French naval base Abu Dhabi),strike,impact confirmed,24.43,54.36,point,0,0,,,French base reportedly struck,True
,combined_sheet,Wikipedia Timeline Day 1 / Saudi MoD,2026-02-28,2026-02-28T12:30:00Z,minute,False,exact,Iran,ballistic missile,Saudi Arabia,Prince Sultan Air Base,intercept,intercepted,24.06,47.58,point,0,0,,,Saudi Arabia shoots down missiles fired at base,True
,combined_sheet,Wikipedia Timeline Day 1 / Saudi MoD,2026-02-28,2026-02-28T12:30:00Z,minute,False,exact,Iran,ballistic missile,Saudi Arabia,King Khalid International Airport Riyadh,intercept,intercepted,24.96,46.7,point,0,0,,,missiles intercepted; airport targeted,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:30:00Z,minute,False,exact,Iran,Shahed drone,Saudi Arabia,Ras Tanura oil refinery,mixed,partial intercept,26.64,50.15,point,0,0,,,refinery closed; contained fire from drone debris; Aramco facility damaged,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,ballistic missile,Kuwait,Kuwait - general (civilian/military),mixed,partial intercept,29.37,47.98,point,1,32,,,1 killed; 32 injured across Kuwait,True
,combined_sheet,Wikipedia Timeline Day 1 / John Healey statement,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,ballistic missile,Cyprus,RAF Akrotiri,intercept,intercepted,34.58,32.99,point,0,0,,,UK Defence Secretary confirms two missiles fired toward British bases in Cyprus; not believed to be targeted attack,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,ballistic missile,Jordan,Jordan - airspace general,intercept,intercepted,31.95,35.93,point,0,0,,,missiles transiting airspace intercepted,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:30:00Z,minute,False,exact,Iran,ballistic missile,Bahrain,Salman Industrial Zone,mixed,partial intercept,26.15,50.55,point,1,2,,,falling debris from intercepted missile kills 1 worker; 2 seriously injured,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T12:00:00Z,minute,False,exact,Iran,Shahed drone,UAE,Abu Dhabi International Airport,mixed,partial intercept,24.43,54.65,point,0,0,,,airport sustains damage,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T13:00:00Z,minute,False,exact,Iran,Shahed drone,Bahrain,Crowne Plaza Hotel Manama,strike,impact confirmed,26.22,50.59,point,0,0,,,drone hits hotel; fire breaks out,True
,combined_sheet,Wikipedia Timeline Day 1 / Day 2 corroboration,2026-02-28,2026-02-28T13:00:00Z,minute,False,exact,Iran,Shahed drone,Kuwait,US Embassy Kuwait City (Kuwait City),mixed,partial intercept,29.37,47.99,point,0,0,,,smoke rises from US embassy; embassy later closed indefinitely,True
,combined_sheet,Wikipedia Timeline Day 1 / FDD,2026-02-28,2026-02-28T14:00:00Z,minute,False,exact,Iranian proxy (Iraqi militia),Shahed drone,Iraq,Erbil Airport,mixed,partial intercept,36.24,44.0,point,0,0,,,explosion near Erbil Airport; Guardians of the Blood Brigade claims responsibility,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T14:00:00Z,minute,False,exact,Iranian proxy (Iraqi militia),Shahed drone,Iraq,Victory Base Baghdad (Baghdad International Airport vicinity),mixed,partial intercept,33.26,44.23,point,0,0,,,two drones targeted Victory Base; one reportedly struck the base,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T15:00:00Z,minute,False,exact,Iran,ballistic missile,Israel,Tel Aviv - central (HaKirya area),mixed,mixed,32.08,34.78,point,0,0,,,missiles intercepted over Tel Aviv; partial penetrations,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T15:00:00Z,minute,False,exact,Iran,Shahed drone,Saudi Arabia,Riyadh - Diplomatic Quarter,mixed,partial intercept,24.69,46.68,point,0,0,,,Saudi oil refinery closed; additional drone attacks on Riyadh,True
,combined_sheet,Wikipedia Timeline Day 1-2,2026-02-28,2026-02-28T15:00:00Z,minute,False,exact,Iran,cruise missile,Qatar,Al Udeid Air Base,mixed,partial intercept,25.12,51.32,point,0,0,,,Qatar shoots down two Iranian Su-24 bombers approaching base on Day 2 (corroborated),True
,combined_sheet,Wikipedia Timeline Day 1 / Oman Maritime Security Centre,2026-02-28,2026-02-28T15:00:00Z,minute,False,exact,Iran,Shahed drone,Oman,Khasab port (Strait of Hormuz) - tanker Skylight,strike,impact confirmed,26.19,56.24,point,0,4,,,Palau-flagged tanker Skylight hit 5nm north of Khasab; 4 crew injuries (Indian-Iranian crew),True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T15:00:00Z,minute,False,exact,Iran,Shahed drone,maritime,MKD VYOM tanker (off Oman coast),strike,impact confirmed,23.5,58.5,point,1,unknown,,,Marshall Islands-flagged tanker struck off coast of Oman; 1 crew member killed,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T15:00:00Z,minute,False,exact,Iran,Shahed drone,Oman,Duqm Port,strike,impact confirmed,19.67,57.7,point,0,1,,,two drones hit Duqm Port; 1 expatriate worker injured,True
,combined_sheet,Wikipedia Timeline Day 1,2026-02-28,2026-02-28T16:00:00Z,minute,False,exact,Iran,Shahed drone,Saudi Arabia,Aramco Ras Tanura - additional strike,mixed,partial intercept,26.64,50.15,point,0,0,,,additional drone targeting of Ras Tanura; Kuwait refinery hit by shrapnel,True
,combined_sheet,Wikipedia Timeline Day 2 / NPR,2026-03-01,2026-03-01T02:00:00Z,minute,False,exact,Iran,rocket,Israel,Haifa - IDF base,mixed,partial intercept,32.79,34.99,point,0,0,,,Hezbollah rocket attack on IDF base in Haifa; sirens across Haifa and Upper Galilee; declared act of war by IDF,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T02:00:00Z,minute,False,exact,Iran / IRGC,ballistic missile,Kuwait,Ali al-Salem Air Base,mixed,partial intercept,29.35,47.52,point,0,0,,,continued targeting of Kuwaiti bases,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T02:00:00Z,minute,False,exact,Iran / IRGC,ballistic missile,UAE,Jebel Ali - MSP vessel,strike,impact confirmed,25.01,55.06,point,0,0,,,Qadr-380 missiles used; vessel in Jebel Ali targeted,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T02:00:00Z,minute,False,exact,Iran / IRGC,ballistic missile,Saudi Arabia,Prince Sultan Air Base,mixed,partial intercept,24.06,47.58,point,0,0,,,continued strikes on Prince Sultan,True
,combined_sheet,Wikipedia Timeline Day 2 / FDD,2026-03-01,2026-03-01T02:00:00Z,minute,False,exact,Iranian proxy (Iraqi militia),Shahed drone,Iraq,Harir Air Base (Kurdistan),mixed,partial intercept,36.55,44.35,point,0,0,,,Harir Base targeted; Islamic Resistance in Iraq claims 23+ drone strikes on Erbil,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T06:00:00Z,minute,False,exact,Iran,ballistic missile,Israel,Tel Nof Airbase,mixed,mixed,31.84,34.82,point,0,0,,,Tel Nof Airbase targeted; IDF General Staff HQ Tel Aviv also hit,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T06:00:00Z,minute,False,exact,Iran,ballistic missile,Israel,IDF General Staff HQ (HaKirya) Tel Aviv,strike,impact confirmed,32.07,34.78,point,0,0,,,IDF General Staff HQ struck in Wave 6,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T06:00:00Z,minute,False,exact,Iran,ballistic missile,Bahrain,Mina Salman Port / naval area,mixed,partial intercept,26.19,50.62,point,0,0,,,Mina Salman targeted in Wave 7,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T06:00:00Z,minute,False,exact,Iran,ballistic missile,Kuwait,Abdullah Al-Mubarak Air Base,mixed,partial intercept,29.2,47.85,point,0,0,,,Abdullah Al-Mubarak Air Base targeted,True
,combined_sheet,Wikipedia Timeline Day 2 / CENTCOM denial,2026-03-01,2026-03-01T08:00:00Z,minute,False,exact,Iran,cruise missile,Israel,USS Abraham Lincoln (claimed - denied),strike,unknown,32.08,34.78,point,0,0,,,IRGC claims 4 cruise missiles hit Abraham Lincoln; CENTCOM denies; carrier continues flight ops,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T08:00:00Z,minute,False,exact,Iran,unknown,maritime,MQ-9 Reaper drone (over Gulf),strike,impact confirmed,26.0,55.0,point,0,0,,,Iran claims shoot-down of US MQ-9 Reaper; Iran claims confirmed hit,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T10:00:00Z,minute,False,exact,Iran,ballistic missile,Israel,Beersheba - residential,strike,impact confirmed,31.25,34.79,point,0,19,,,19 injured in missile strike on Beersheba neighborhood,True
,combined_sheet,Wikipedia Timeline Day 2 / CNN,2026-03-01,2026-03-01T10:00:00Z,minute,False,exact,Iran,ballistic missile,UAE,Dubai - general,mixed,partial intercept,25.2,55.27,point,0,0,,,CNN reports explosions in Dubai; UAE shoots down 148 drones 9 ballistic missiles 6 cruise missiles total (Day 2 total),True
,combined_sheet,Wikipedia Timeline Day 2 / CNN,2026-03-01,2026-03-01T10:00:00Z,minute,False,exact,Iran,ballistic missile,Qatar,Doha - general,mixed,partial intercept,25.29,51.53,point,0,0,,,CNN reports explosions in Doha,True
,combined_sheet,Wikipedia Timeline Day 2 / CNN,2026-03-01,2026-03-01T10:00:00Z,minute,False,exact,Iran,ballistic missile,UAE,Abu Dhabi - general,mixed,partial intercept,24.45,54.38,point,0,0,,,CNN reports explosions in Abu Dhabi,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T10:00:00Z,minute,False,exact,Iran,Shahed drone,Kuwait,US Embassy Kuwait City,strike,impact confirmed,29.37,47.99,point,0,0,,,smoke rises from US embassy; closed indefinitely,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T10:00:00Z,minute,False,exact,Iran,ballistic missile,Saudi Arabia,Riyadh - general,mixed,partial intercept,24.69,46.69,point,0,0,,,Riyadh hit by direct strikes (Day 2),True
,combined_sheet,Wikipedia Timeline Day 2 / UK MoD,2026-03-01,2026-03-01T12:00:00Z,minute,False,exact,Iran,Shahed drone,Cyprus,RAF Akrotiri,mixed,partial intercept,34.58,32.99,point,0,0,,,~midnight local: 5 drones target RAF Akrotiri; 4 intercepted; 1 hits airfield causing minor damage; air raid sirens,True
,combined_sheet,Wikipedia Timeline Day 2 / FDD,2026-03-01,2026-03-01T12:00:00Z,minute,False,exact,Iranian proxy (Iraqi militia),Shahed drone,Iraq,Erbil - general (23+ attacks),mixed,mixed,36.19,44.01,point,0,0,,,Islamic Resistance in Iraq claims over 23 drone strikes on US assets in Erbil (Day 2 cumulative),True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T14:00:00Z,minute,False,exact,Iran,ballistic missile,Kuwait,Kuwait - general,mixed,partial intercept,29.37,47.98,point,2,0,,,2 Kuwaiti navy members killed amid Iranian attacks; 11-year-old girl later dies from shrapnel,True
,combined_sheet,Wikipedia Timeline Day 2,2026-03-01,2026-03-01T14:00:00Z,minute,False,exact,Iran,Shahed drone,Kuwait,Kuwait - residential (11-year-old girl),mixed,partial intercept,29.37,47.98,point,1,0,,,11-year-old Kuwaiti girl dies from shrapnel injuries,True
,combined_sheet,Wikipedia Timeline Day 3 / NPR,2026-03-02,2026-03-02T00:00:00Z,minute,False,exact,Hezbollah (Iran-directed),rocket,Israel,Haifa - Upper Galilee,mixed,partial intercept,32.79,34.99,point,0,0,,,Hezbollah launches rockets toward Haifa and Upper Galilee; sirens activated; IDF declares official war footing vs Hezbollah,True
,combined_sheet,Wikipedia Timeline Day 3,2026-03-02,2026-03-02T01:40:00Z,minute,False,exact,Iran,ballistic missile,Qatar,Doha - general,mixed,partial intercept,25.29,51.53,point,0,0,,,series of loud blasts in Doha at 1:40 AM local,True
,combined_sheet,Wikipedia Timeline Day 3,2026-03-02,2026-03-02T01:40:00Z,minute,False,exact,Iran,ballistic missile,UAE,UAE - general (missiles detected),mixed,partial intercept,24.45,54.38,point,0,0,,,UAE detects numerous missiles heading from Iran at 3:30 AM local,True
